iyer2022persuasion	10.1287/mksc.2021.1333	iyer2022persuasion
jeziorski2014costefficiencies	10.1111/1756-2171.12072	jeziorski2014costefficiencies
jeziorski2014twosided	10.1257/mic.6.4.35	jeziorski2014twosided
jeziorski2019skimming	10.1287/mksc.2018.1134	jeziorski2019skimming
jeziorski2023merger	10.1287/mnsc.2022.4599	jeziorski2023merger
johnson2017ghostads	10.1509/jmr.15.0297	johnson2017ghostads
johnson2017lessismore	10.1287/mksc.2016.0998	johnson2017lessismore
johnson2020privacychoice	10.1287/mksc.2019.1198	johnson2020
jones2011modernschools	10.4135/9781446222454.n3	jones2011modernschools
joo2014tvsearch	10.1287/mnsc.2013.1741	joo2014
joo2016tvkeyword	10.1016/j.ijresmar.2014.12.005	joo2016tvkeyword
karmarkar2015costconscious	10.1509/jmr.13.0488	karmarkar2015costconscious
karmarkar2016neuroscience	10.1016/j.copsyc.2016.01.010	karmarkar2016neuroscience
katona2008networkformation	10.1287/mksc.1070.0349	katona2008
katona2011networkeffects	10.1509/jmkr.48.3.425	katona2011networkeffects
khamitov2019relationships	10.1093/jcr/ucz006	khamitov2019relationships
kim2023brandage	10.1177/00222437231178544	kim2023brandage
kotler1969broadening	10.1177/002224296903300103	kotler1969broadening
kramer2026adherence	10.1177/10946705251410017	kramer2026adherence
lamberton2013retail	10.1086/671103	lamberton2013retail
lambrecht2013retargeting	10.1509/jmr.11.0503	lambrecht2013retargeting
leboeuf2012consequencecause	10.1086/662372	leboeuf2012consequencecause
leone1995carryover	10.1287/mksc.14.3.g141	leone1995carryover
leung2022influencer	10.1177/00222429221102889	leung2022
lewis2014onlineoffline	10.1007/s11129-014-9146-6	lewis2014
lewis2015unfavorable	10.1093/qje/qjv023	Lewis_2015
li2014attribution	10.1509/jmr.13.0050	li2014
li2021conversation	10.1109/ijcnn52387.2021.9533935	li2021conversation
li2023politeness	10.1109/cai54212.2023.00106	li2023politeness
liadeli2023ownedsocial	10.1177/00222429221123250	liadeli2023ownedsocial
lilien1994models	10.1007/978-94-011-1402-8_1	lilien1994models
liu2008interruption	10.1086/592126	liu2008interruption
liu2008timeask	10.1086/588699	liu2008timeask
liu2020visuallistening	10.1287/mksc.2020.1226	liu2020
lodish1995tvadvertising	10.1177/002224379503200201	lodish1995tvadvertising
longoni2022wordofmachine	10.1177/0022242920957347	longoni2022wordofmachine
lu2017keyword	10.1287/mksc.2017.1053	lu2017keyword
luffarelli2019asymmetry	10.1177/0022243718820548	luffarelli2019asymmetry
luffarelli2019descriptiveness	10.1177/0022243719845000	luffarelli2019descriptiveness
lund2014revenue	10.1509/jm.13.0220	lund2014revenue
lynch2015replication	10.1016/j.ijresmar.2015.09.006	lynch2015replication
marinova2004actualizing	10.1509/jmkg.68.3.1.34768	marinova2004actualizing
